Name,Accession_name,Height_mean,Height_sd,Height_NA_out_mean,Height_NA_out_sd,Circumference_mean,Circumference_sd,Circumference_NA_out_mean,Circumference_NA_out_sd,BLUP_height,BLUP_circ,Height_2012,Circumference_2012,Height_2013,Circumference_2013,Height_2014,Circumference_2014,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,adam,231.6666666667,181.2686771986,127.5,24.7487373415,780,180.2775637732,780,180.2775637732,133.5679000837,785.2287436185,440,580,145,830,110,930,-202.6184496869,-83.6870111851,61.1038639915,145.130519885,27.7608808861
adam_messerich_A8,adam_messerich,185,7.0710678119,185,7.0710678119,730,56.5685424949,730,56.5685424949,185.1684349911,746.2202215126,190,770,NA,NA,180,690,-51.1563308714,-54.4692334194,56.4131567276,-15.0791835472,10.1349604312
adelaide_d_orleans_E10,adelaide_d_orleans,151.6666666667,16.0727512683,151.6666666667,16.0727512683,693.3333333333,110.1514109457,693.3333333333,110.1514109457,152.6964476364,701.0152700052,145,700,170,800,140,580,-142.1343959304,23.7552921767,44.713053249,-4.3713908244,22.8471221005
aennchen_von_tharau_A2,aennchen_von_tharau,130,18.0277563773,130,18.0277563773,603.3333333333,15.2752523165,603.3333333333,15.2752523165,132.1114107272,613.5628166375,145,590,135,620,110,600,-64.4359175272,-16.1663743105,-3.9889301892,-85.256792985,40.5122705685
aglaia_H10,aglaia,47.5,3.5355339059,47.5,3.5355339059,470,14.1421356237,470,14.1421356237,59.4125777263,477.0204120265,NA,NA,45,480,50,460,-165.9628182191,31.5256831544,-35.7680670187,122.7578041964,50.9063974126
agnes_A3,agnes,187.5,45.9619407771,187.5,45.9619407771,615,21.2132034356,615,21.2132034356,189.1843918517,615.949759172,NA,NA,220,630,155,600,184.2230588859,-154.0270933567,-134.4331405499,35.4198657658,23.8671516272
alberic_barbier_H5,alberic_barbier,70,56.5685424949,70,56.5685424949,210,70.7106781187,210,70.7106781187,80.2687621394,227.9057205932,NA,NA,30,260,110,160,-146.4102290436,25.0138158338,-24.0246161501,154.8993558515,49.9982295669
alfred_colomb_C3,alfred_colomb,116.6666666667,2.8867513459,116.6666666667,2.8867513459,226.6666666667,5.7735026919,226.6666666667,5.7735026919,119.4436957061,247.5581043949,120,220,115,230,115,230,-99.9636770875,-110.0149518455,25.0053055076,-117.2768666808,-5.4492218966
anna_maria_de_montravel_C9,anna_maria_de_montravel,102.5,3.5355339059,102.5,3.5355339059,440,42.4264068712,440,42.4264068712,110.394361847,448.2764091688,NA,NA,100,470,105,410,-179.2871992043,142.1521351215,-154.3697378386,-44.3108946263,60.6813736416
antonia_d_ormois_C12,antonia_d_ormois,105,22.9128784748,105,22.9128784748,466.6666666667,81.4452781525,466.6666666667,81.4452781525,108.3594450626,480.7646467088,125,430,110,560,80,410,137.7437471347,67.8694658472,59.6802231305,13.2469908936,9.4069642742
ayrshire_queen_G1,ayrshire_queen,206.6666666667,25.1661147842,206.6666666667,25.1661147842,696.6666666667,80.8290376865,696.6666666667,80.8290376865,204.9507720984,704.2542497596,230,610,210,710,180,770,-138.9991344876,-24.518259028,103.7225535389,25.5929342847,50.9513416935
bacchante_A5,bacchante,75,18.0277563773,75,18.0277563773,176.6666666667,25.1661147842,176.6666666667,25.1661147842,79.8570862652,198.9734080795,80,200,90,180,55,150,148.6877988619,78.8956269464,74.4930451463,9.388725016,34.8334622463
baron_de_wassenaer_D4,baron_de_wassenaer,60,21.2132034356,60,21.2132034356,205,49.4974746831,205,49.4974746831,70.9993468447,223.1150534503,NA,NA,75,240,45,170,34.8270472296,9.288689072,0.613487934,-56.2979026855,-38.5116761856
beau_narcisse_H5,beau_narcisse,85,35.3553390593,85,35.3553390593,360,0,360,0,94.1728850814,371.6257348816,NA,NA,110,360,60,360,6.3829106142,32.5379224204,48.9383684646,7.8531378454,32.0438161141
belle_de_baltimore_G5,belle_de_baltimore,116.6666666667,11.5470053838,116.6666666667,11.5470053838,358.3333333333,53.4633831078,358.3333333333,53.4633831078,119.4436957061,375.4978046921,130,325,110,330,110,420,-46.370964057,97.7267390444,-1.6056290005,59.4472983256,-148.4746297191
belle_helene_A7,belle_helene,95,22.9128784748,95,22.9128784748,196.6666666667,15.2752523165,196.6666666667,15.2752523165,98.8586587968,218.4072866056,100,200,115,210,70,180,148.3839434359,77.2611588841,73.297286646,8.6055382973,33.0370098554
belle_herminie_B10,belle_herminie,115,18.0277563773,115,18.0277563773,388.3333333333,27.5378527364,388.3333333333,27.5378527364,117.8602313284,404.6486224813,100,375,135,420,110,370,144.9301676946,85.6952522638,77.6035761479,9.5519577091,31.9864910745
belle_isis_F7,belle_isis,130,39.0512483795,130,39.0512483795,406.6666666667,41.6333199893,406.6666666667,41.6333199893,132.1114107272,422.4630111303,150,360,155,440,85,420,139.8289366697,91.2040273786,76.0682982695,12.3486870135,29.3043333632
belvedere_G8,belvedere,180,43.5889894354,180,43.5889894354,1226.6666666667,25.1661147842,1226.6666666667,25.1661147842,179.6153420563,1219.2520307027,230,1200,160,1230,150,1250,-76.3519874726,130.8225437345,-102.8359617424,56.5636230514,-57.1716291808
bijou_des_amateurs_A8,bijou_des_amateurs,53.3333333333,15.2752523165,53.3333333333,15.2752523165,175,15,175,15,59.2720493559,197.3539182023,40,175,70,160,50,190,147.3416965264,84.0259619689,78.4771916564,7.5911173135,33.4108538361
blanche_moreau_A9,blanche_moreau,110,NA,110,NA,330,NA,330,NA,125.7364888285,367.0008307229,NA,NA,NA,NA,110,330,153.0315293441,61.0050160537,61.5364998158,1.3264408917,31.0417079172
blanc_pur_G4,blanc_pur,146.6666666667,28.8675134595,146.6666666667,28.8675134595,363.3333333333,64.2910050733,363.3333333333,64.2910050733,147.9460545035,380.3562743236,130,290,180,410,130,390,-89.0531213765,-106.079852213,72.5739695733,68.4603116493,-38.6875102506
blush_damask_H1,blush_damask,191.6666666667,23.6290781313,191.6666666667,23.6290781313,913.3333333333,32.1455025366,913.3333333333,32.1455025366,190.6995926997,914.7879337929,210,900,200,890,165,950,155.4423176404,-13.7395700057,-7.3492834655,5.4757467161,-6.934541869
blush_hip_B3,blush_hip,221.6666666667,36.1708906904,221.6666666667,36.1708906904,850,166.4331697709,850,166.4331697709,219.2019514972,853.2473184601,245,780,240,730,180,1040,44.6725582576,24.2437700997,51.119863752,-9.0672952929,-1.6729713737
boula_de_nanteuil_A11,boula_de_nanteuil,70,10,70,10,143.3333333333,30.550504633,143.3333333333,30.550504633,75.1066931323,166.5836105359,80,170,70,150,60,110,149.528197373,77.3026616913,73.5386639958,8.7095653821,34.2159236299
bouquet_de_venus_D6,bouquet_de_venus,63.3333333333,11.5470053838,63.3333333333,11.5470053838,176.6666666667,30.550504633,176.6666666667,30.550504633,68.7728356217,198.9734080795,70,150,70,170,50,210,143.2546062951,87.1933009796,76.5833295985,9.9750634168,31.1618824828
camaieu_G12,camaieu,68.3333333333,16.0727512683,68.3333333333,16.0727512683,193.3333333333,28.8675134595,193.3333333333,28.8675134595,73.5232287546,215.1683068513,80,210,75,210,50,160,145.3760012436,84.794197952,75.8071768418,10.7651915244,32.2162989146
capitaine_basroger_C1,capitaine_basroger,108.3333333333,11.5470053838,108.3333333333,11.5470053838,385,62.6498204307,385,62.6498204307,111.5263738179,401.4096427269,115,450,115,380,95,325,-9.6409703009,-39.0188776137,78.1558559251,-36.9568411119,30.0774896456
caroline_banks_A12,caroline_bank,153.3333333333,32.1455025366,153.3333333333,32.1455025366,410,145.2583904633,410,145.2583904633,154.2799120141,425.7019908846,130,550,140,420,190,260,-93.7670718623,25.5087875745,-53.0031135206,-85.2716588562,17.7570828757
celine_F12,celine,151.6666666667,7.6376261583,151.6666666667,7.6376261583,546.6666666667,75.718777944,546.6666666667,75.718777944,152.6964476364,558.5001608134,150,600,160,580,145,460,-106.4983077772,-32.3700076422,-44.6809031428,-85.4473991763,-67.1071948491
champmey_pink_cluster_B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-176.6956868595,56.1279824162,-61.0803260743,-4.3593556818,-170.8127064299
charles_lawson_B4,charles_lawson,158.3333333333,30.550504633,158.3333333333,30.550504633,803.3333333333,351.3308032799,880,NA,159.030305147,876.1643643285,185,880,165,420,125,1110,-18.3485927783,-69.7651774033,66.2508710953,-75.6627755458,10.9659551497
charles_quint_B2,charles_quint,81.6666666667,20.8166599947,81.6666666667,20.8166599947,243.3333333333,5.7735026919,243.3333333333,5.7735026919,86.1909437757,263.7530031667,105,250,75,240,65,240,148.0193297961,74.2478012991,64.5437915802,12.9845822552,30.5009396221
chloris_F10,chloris,230,5,230,5,993.3333333333,83.2666399786,993.3333333333,83.2666399786,227.1192733854,992.5234478975,225,900,230,1060,235,1020,145.5297693833,6.9724318703,-14.8516113307,20.9061682861,19.0251400023
claire_jacquier_F8,claire_jacquier,198.3333333333,20.2072594216,198.3333333333,20.2072594216,583.3333333333,133.1665623696,583.3333333333,133.1665623696,197.0334502103,594.1289381113,210,470,210,730,175,550,-128.4170856786,-13.8461957942,10.0966256933,139.3906496408,-149.494956126
clementine_B4,clementine,95,5,95,5,273.3333333333,23.0940107676,273.3333333333,23.0940107676,98.8586587968,292.9038209559,90,260,95,260,100,300,136.9256351969,16.6214435856,19.7989959082,17.6094641693,-40.8728186625
clotilde_soupert_B11,clotilde_soupert,98.3333333333,2.8867513459,98.3333333333,2.8867513459,493.3333333333,47.2581562625,493.3333333333,47.2581562625,102.0255875521,506.6764847436,95,440,100,530,100,510,-172.2810272375,124.8043034594,-134.3969250838,27.7446278686,59.8640448298
comtesse_de_murinais_E10,comtesse_de_murinais,97.5,3.5355339059,97.5,3.5355339059,420,155.563491861,420,155.563491861,105.7596541997,429.113740597,NA,NA,100,530,95,310,145.3383323215,-15.7486668934,-1.3549350685,5.3256325688,-46.9593889856
corporal_johann_nagy_D10,corporal_johann_nagy,153.3333333333,37.859388972,153.3333333333,37.859388972,758.3333333333,35.472994423,758.3333333333,35.472994423,154.2799120141,764.1753752152,170,765,180,790,110,720,33.5114454476,47.1284873131,-22.2591358499,-56.4144950543,15.966927173
cramoisi_eblouissant_B6,cramoisi_eblouissant,83.3333333333,12.5830573921,83.3333333333,12.5830573921,273.3333333333,35.1188458428,273.3333333333,35.1188458428,87.7744081534,292.9038209559,85,270,95,310,70,240,143.4372728706,80.0495834365,67.6610825093,11.3418871616,29.6037128648
cramoisi_superieur_B7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-234.5598777763,-6.0305326983,-12.2782833789,-16.9187766241,39.3501784944
creme_H3,creme,186.6666666667,16.0727512683,186.6666666667,16.0727512683,1096.6666666667,40.4145188433,1096.6666666667,40.4145188433,185.9491995668,1092.9318202827,205,1050,180,1120,175,1120,-34.1919635202,103.4083019275,-0.6329756694,67.5173157187,-136.2844795351
crimsom_rambler_B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.6426621457,162.6410869305,-171.3454542059,-53.6488992961,43.6687408462
crimson_globe_B3,crimson_globe,136.6666666667,23.6290781313,136.6666666667,23.6290781313,640,0,640,0,138.4452682377,649.1915939354,145,640,155,640,110,640,39.2057881783,0.3672783488,32.5575225043,-39.3846208289,7.4157051178
dawson_H1,dawson,236.6666666667,15.2752523165,236.6666666667,15.2752523165,810,130.7669683062,810,130.7669683062,233.4531308959,814.3795614078,250,660,240,900,220,870,-212.2285950718,125.265249108,-146.5194713021,-69.4039399671,46.7554812418
delille_B12,delille,68.3333333333,7.6376261583,68.3333333333,7.6376261583,130,43.5889894354,130,43.5889894354,73.5232287546,153.6276915185,70,150,75,160,60,80,35.323782048,10.2659799144,35.0435324929,-6.9734641236,-44.1179982424
desprez_a_fleur_jaune_B10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-182.5912704899,-35.9165891907,18.0110455404,95.2732681005,-99.2552595851
deuil_de_paul_fontaine_B11,deuil_de_paul_fontaine,57.5,17.6776695297,57.5,17.6776695297,120,42.4264068712,120,42.4264068712,68.681993021,141.6737120201,NA,NA,70,150,45,90,18.1825920462,7.1432709499,48.6113940417,-40.5699511005,0.1694781787
dona_sol_A1,dona_sol,73.3333333333,7.6376261583,73.3333333333,7.6376261583,180,10,180,10,78.2736218875,202.2123878338,75,170,80,190,65,180,143.2999309006,82.0629079516,75.4988563826,11.1766316796,19.7069379244
duc_d_anjou_B12,duc_d_anjou,110,10,110,10,251.6666666667,41.932485418,251.6666666667,41.932485418,113.1098381955,271.8504525526,110,225,120,300,100,230,148.9254874487,71.7145938563,65.2930860003,9.8963343635,34.491368741
duc_de_cambridge_B6,duc_de_cambridge,151.6666666667,12.5830573921,151.6666666667,12.5830573921,790,50,790,50,152.6964476364,794.9456828816,150,740,140,840,165,790,35.7367542136,13.1593367627,3.622305498,-56.1758504381,-16.3276297058
duchesse_de_montebello_H7,duchesse_de_montebello,120,35.3553390593,120,35.3553390593,480,14.1421356237,480,14.1421356237,126.6158386127,486.6017463124,NA,NA,145,470,95,490,144.3417450089,81.3625768157,74.2006387942,9.4075953313,32.3010274457
duchesse_de_portland_C2,duchesse_de_portland,105,21.7944947177,105,21.7944947177,303.3333333333,5.7735026919,303.3333333333,5.7735026919,108.3594450626,322.0546387451,120,300,115,300,80,310,144.4936582512,18.7784378994,29.2169217098,-1.8740999261,-33.0882007426
duchesse_de_verneuil_A7,duchesse_de_verneuil,55,8.6602540378,55,8.6602540378,250,60,250,60,60.8555137335,270.2309626754,50,250,50,310,65,190,152.6316460387,56.2694852661,61.4751567265,2.1168346935,16.2797181284
duchesse_du_berry_C1,duchesse_de_berry,65,39.686269666,65,39.686269666,120,70,120,70,70.3562999994,143.9107522554,110,200,50,90,35,70,149.7515663949,76.6335716573,74.0035072892,7.9679177651,32.8794608498
enfant_de_france_B10,enfant_de_france,175,7.0710678119,175,7.0710678119,710,70.7106781187,710,70.7106781187,177.5976227334,706.972434888,NA,NA,180,760,170,660,30.1967534998,5.2240529351,80.2022551298,92.86258191,31.5773482148
ernest_morel_C3,ernest_morel,51.6666666667,15.2752523165,51.6666666667,15.2752523165,110,20,110,20,57.6885849783,134.1938129923,65,130,55,110,35,90,-90.2227598652,-117.6097713422,72.3495426766,-113.3455753813,12.6552048817
ernst_dorell_F11,ernst_dorell,146.6666666667,46.1880215352,146.6666666667,46.1880215352,783.3333333333,72.3417813807,783.3333333333,72.3417813807,147.9460545035,788.4677233729,200,700,120,820,120,830,-62.7826019723,82.1609575575,-45.3553855814,-64.098667659,-28.314664793
etoile_de_lyon_G11,etoile_de_lyon,80,0,80,0,175,35.3553390593,175,35.3553390593,89.538177434,194.3710505926,NA,NA,80,150,80,200,-203.4675157773,-146.3608260019,113.9790230556,179.3525290745,44.676537522
eugene_furst_C12,eugene_furst,61.6666666667,10.4083299973,61.6666666667,10.4083299973,106.6666666667,41.6333199893,106.6666666667,41.6333199893,67.1893712441,130.9548332379,65,140,70,120,50,60,-135.6887283193,-138.7577132328,65.4100715744,-145.2229324857,33.8053549196
euphrosine_G10,euphrosine,198.3333333333,29.2973263854,198.3333333333,29.2973263854,796.6666666667,49.3288286232,796.6666666667,49.3288286232,197.0334502103,801.4236423903,210,740,220,820,165,830,-201.5502011992,151.7333885432,-166.6097885686,-73.3209205909,46.2282974034
fatinitza_A3,fatinitza,166.6666666667,5.7735026919,166.6666666667,5.7735026919,763.3333333333,20.8166599947,763.3333333333,20.8166599947,166.9476270352,769.0338448467,160,780,170,770,170,740,-182.870950616,41.2749237692,-56.3080827276,67.8280802513,59.8997321402
francois_arago_C6,francois_arago,145,30.4138126515,145,30.4138126515,430,69.2820323028,430,69.2820323028,146.3625901259,445.1358694108,165,510,160,390,110,390,-131.0010370015,-125.9758325118,62.6356775994,-81.6655015356,31.4496236201
francois_foucard_C7,francois_foucard,198.3333333333,15.2752523165,198.3333333333,15.2752523165,1040,127.671453348,1040,127.671453348,197.0334502103,1037.8691644586,215,900,195,1150,185,1070,-167.4775629704,45.6750527031,-46.0716069804,135.2799271403,30.2139930115
fulgens_gallique_D1,fulgens_gallique,141.6666666667,22.5462487641,141.6666666667,22.5462487641,703.3333333333,23.0940107676,703.3333333333,23.0940107676,143.1956613706,710.7322092683,165,690,140,690,120,730,-42.7414312016,-6.9590818448,51.2584115681,30.4362726814,5.2513815284
gaspard_monge_B8,gaspard_monge,170,10,170,10,653.3333333333,125.0333288901,653.3333333333,125.0333288901,170.1145557904,662.1475129529,180,510,170,710,160,740,3.8182843625,20.7089675264,12.2673643716,-40.3586434712,-29.2338139672
geant_des_batailles_C8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.1364757275,-77.2479109368,55.4035229652,-98.9539897392,19.9131991489
general_jacqueminot_C9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.781672399,-104.0111561857,50.2488071013,-128.4759213199,4.6431774816
general_kleber_B7,general_kleber,101.6666666667,28.4312035154,101.6666666667,28.4312035154,293.3333333333,20.8166599947,293.3333333333,20.8166599947,105.1925163074,312.3376994821,125,300,110,310,70,270,144.6086766055,60.6581854666,52.8137959816,11.5283441443,16.8103569454
geschwind_s_orden_D9,geschwind_s_orden,188.3333333333,7.6376261583,188.3333333333,7.6376261583,740,40,740,40,187.5326639444,746.3609865662,195,700,180,780,190,740,33.848112825,-52.9673420554,-48.7759493098,-21.8908150272,-52.0727960647
gilda_A6,gilda,300,17.3205080757,300,17.3205080757,763.3333333333,126.6227994215,763.3333333333,126.6227994215,293.6247772461,769.0338448467,280,650,310,900,310,740,-20.0350063932,62.6121706122,-37.4351090732,-47.4608892475,24.6694925807
gloire_de_dijon_C11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.6557732403,-65.1236775212,65.5890915918,67.6521788621,12.8776968335
gloire_de_ducher_C12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135.5488530573,-76.8975419709,44.3037049533,-106.1541808105,7.7334385867
gloire_des_rosomanes_D1,gloire_des_rosomanes,173.3333333333,20.8166599947,173.3333333333,20.8166599947,346.6666666667,45.0924975282,346.6666666667,45.0924975282,173.2814845457,364.1613755518,180,390,190,350,150,300,-88.9876196829,-52.3097979146,-22.5417223011,40.0656463189,-63.3659241602
himmelsauge_A12,himmelsauge,251.6666666667,36.8555739792,251.6666666667,36.8555739792,1096.6666666667,128.5820101466,1096.6666666667,128.5820101466,247.7043102946,1092.9318202827,280,950,265,1150,210,1190,-6.8035938761,138.0772759729,-65.3212506021,-24.9997618838,42.5961158826
hippolyte.D7,hippolyte,73.3333333333,20.8166599947,73.3333333333,20.8166599947,335,13.2287565553,335,13.2287565553,78.2736218875,352.8249464116,80,325,90,350,50,330,5.8967300009,78.1748895768,2.083093217,-24.2916782033,28.9167306553
horace_vernet.E7,horace_vernet,196.6666666667,2.8867513459,196.6666666667,2.8867513459,655,69.4622199472,655,69.4622199472,195.4499858326,663.7670028301,200,575,195,700,195,690,129.4446836438,21.0485896066,26.2348714664,4.9005958681,-56.9719043376
hovyn_de_tronchere_D3,hovyn_de_tronchere,160,NA,160,NA,260,NA,260,NA,168.9280555008,302.6266182837,NA,NA,NA,NA,160,260,-194.5153023447,-115.1143830519,92.6611182452,177.9040149805,39.1742512928
hume_s_blush_tea_scented_china_C7,hume_s_blush_tea_scented_china,90,20,90,20,258.3333333333,27.5378527364,258.3333333333,27.5378527364,94.1082656639,278.3284120613,110,285,90,260,70,230,-244.4056916941,-86.3033137298,49.2140461064,76.8277870869,49.6777994578
hybride_de_rosa_wichurana_H12,hybride_de_rosa_wichurana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.3629762121,157.7971304448,-145.1525705017,-14.3504772728,62.4998794639
imperatrice_josephine_E9,imperatrice_josephine,126.6666666667,5.7735026919,126.6666666667,5.7735026919,288.3333333333,59.2311854797,288.3333333333,59.2311854797,128.9444819719,307.4792298505,130,325,130,320,120,220,155.8534353813,19.5817827791,11.905907034,12.4923348254,18.3858585025
indigo_D3,indigo,111.6666666667,18.929694486,111.6666666667,18.929694486,466.6666666667,51.3160143945,466.6666666667,51.3160143945,114.6933025732,480.7646467088,120,510,125,480,90,410,147.2169452784,60.8868346795,60.7594479987,7.0468062538,9.9129913174
jacques_cartier_blanc_G1,jacques_cartier_blanc,121.6666666667,14.4337567297,121.6666666667,14.4337567297,293.3333333333,35.1188458428,293.3333333333,35.1188458428,124.194088839,312.3376994821,130,260,105,290,130,330,24.4821779237,76.9281095216,25.722664863,2.5313557604,-44.8864220677
janet_s_pride_D2,janet_s_pride,128.3333333333,25.6580071972,128.3333333333,25.6580071972,540,36.0555127546,540,36.0555127546,130.5279463495,552.0222013047,135,510,150,530,100,580,119.6509157805,94.0184749835,61.1537642494,23.411824654,21.6648796774
jean_bach_sisley_D4,jean_bach_sisley,125,10,125,10,440,45.8257569496,440,45.8257569496,127.3610175943,454.8528086739,125,450,135,390,115,480,-215.6964793901,-77.1234697827,43.2110608375,120.4710709701,46.5507723632
jeanne_d_arc_G2,jeanne_d_arc,91.6666666667,20.2072594216,91.6666666667,20.2072594216,406.6666666667,23.0940107676,406.6666666667,23.0940107676,95.6917300415,422.4630111303,110,420,95,420,70,380,-162.9380904758,144.3832897198,-149.5258646586,-13.0750107213,71.691686837
jenny_duval_G8,jenny_duval,76.6666666667,15.2752523165,76.6666666667,15.2752523165,296.6666666667,50.3322295685,296.6666666667,50.3322295685,81.4405506428,315.5766792364,90,250,80,290,60,350,148.0607440192,76.939186692,72.4964603426,8.8932439778,33.7470153763
jersey_beauty_F1,jersey_beauty,155,7.0710678119,155,7.0710678119,335,21.2132034356,335,21.2132034356,159.0587921441,347.6723991669,NA,NA,160,350,150,320,-136.9171886998,49.7747190462,-48.935049162,120.2522663586,47.5648361131
julie_de_mersan_C7,julie_de_mersan,141.6666666667,33.2916405924,141.6666666667,33.2916405924,500,56.5685424949,500,56.5685424949,143.1956613706,505.7644148842,150,NA,170,540,105,460,90.41111067,10.3550955725,69.6460342174,-42.8285039268,4.004817706
la_belle_distinguee_E1,la_belle_distinguee,90,5,90,5,353.3333333333,23.0940107676,353.3333333333,23.0940107676,94.1082656639,370.6393350605,90,340,95,380,85,340,156.5435162969,3.5335622965,2.1013871991,10.6895114347,15.031232612
la_biche_E6,la_biche,62.5,10.6066017178,62.5,10.6066017178,115,35.3553390593,115,35.3553390593,73.3167006684,136.8830448772,NA,NA,55,140,70,90,-208.5753525261,-85.62655094,40.3864217423,38.1279182895,36.3677770724
la_caille_A2,la_caille,138.3333333333,2.8867513459,138.3333333333,2.8867513459,646.6666666667,56.8624070308,646.6666666667,56.8624070308,140.0287326154,655.6695534442,140,600,140,710,135,630,32.1787020758,-22.049942237,37.2040099408,-63.3842104852,-3.3512526508
la_favorite_A10,la_favorite,160,8.6602540378,160,8.6602540378,465,37.7491721764,465,37.7491721764,160.6137695246,479.1451568316,155,500,155,470,170,425,-111.7238318116,-113.5927654069,75.5626990281,54.132082084,20.4799389432
la_france_D7,la_france,75,49.4974746831,75,49.4974746831,223.3333333333,156.3116545026,223.3333333333,156.3116545026,83.2048667498,244.3191246405,110,200,NA,390,40,80,-94.3456213601,-99.1490246098,55.1748225858,-7.1925090256,5.0340875066
lamotte_sanguin_D12,lamotte_sanguin,121.6666666667,11.5470053838,121.6666666667,11.5470053838,466.6666666667,73.7111479583,466.6666666667,73.7111479583,124.194088839,480.7646467088,115,410,135,550,115,440,-33.1266053557,-49.9977446218,65.626980674,-84.9674186462,-8.7619609167
la_noblesse_B2,la_noblesse,153.3333333333,7.6376261583,153.3333333333,7.6376261583,590,45.8257569496,590,45.8257569496,154.2799120141,600.6068976201,155,630,160,540,145,600,-8.8784310647,-42.4217728766,46.8731385326,-68.9885086491,7.9019407228
la_reine_D8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.169789453,-24.7461643244,53.6528948061,-91.6015735976,6.2627255677
la_sirene_A9,la_sirene,168.3333333333,16.0727512683,168.3333333333,16.0727512683,756.6666666667,115.0362261782,756.6666666667,115.0362261782,168.5310914128,762.555885338,150,640,180,870,175,760,-100.3221990694,78.9163345761,-51.205415769,-61.2979081775,-24.4273028293
lea_F1,lea,95,21.2132034356,95,21.2132034356,315,106.066017178,315,106.066017178,94.4343897352,330.2632702555,80,240,110,390,NA,NA,127.3220054382,14.9356427899,14.904439068,13.3965028383,-55.0880169281
leda_E6,leda,85,5,85,5,310,36.0555127546,310,36.0555127546,89.357872531,328.5325982539,90,300,85,350,80,280,136.8273361723,28.1326984185,34.4734712565,5.0498877757,-45.0736147607
